combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,onesided_alt_grd,onesided_alt_roi
HR20=90 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.6,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.7,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.8,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==0.9,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.0,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=90 CV<==1.1,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.6,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.7,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.8,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==0.9,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==1.0,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=85 CV<==1.1,2,0,2,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.6,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.7,1,0,1,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=80 CV<==0.8,7,3,4,3,0,0,100.0,43.85,100.0,52.44,35.97,83.33,1.5733,3.0,,1,83.33,2,37.0,0,
HR20=80 CV<==0.9,7,3,4,3,0,0,100.0,43.85,100.0,52.44,35.97,83.33,1.5733,3.0,,1,83.33,2,37.0,0,
HR20=80 CV<==1.0,7,3,4,3,0,0,100.0,43.85,100.0,52.44,35.97,83.33,1.5733,3.0,,1,83.33,2,37.0,0,
HR20=80 CV<==1.1,7,3,4,3,0,0,100.0,43.85,100.0,52.44,35.97,83.33,1.5733,3.0,,1,83.33,2,37.0,0,
HR20=75 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.5,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=75 CV<==0.6,4,2,2,2,0,0,100.0,34.24,100.0,70.53,39.06,102.0,1.4106,2.0,,1,102.0,1,39.06,0,
HR20=75 CV<==0.7,8,4,4,3,1,0,75.0,30.06,95.44,36.52,-49.5,103.5,1.4606,4.0,,3,35.67,1,39.06,0,
HR20=75 CV<==0.8,16,8,8,7,1,0,87.5,52.91,97.76,49.83,2.36,84.55,3.9863,8.0,,5,57.11,3,37.69,0,
HR20=75 CV<==0.9,17,9,8,8,1,0,88.89,56.5,98.01,48.29,6.33,81.09,4.346,9.0,,5,57.11,4,37.26,0,
HR20=75 CV<==1.0,17,9,8,8,1,0,88.89,56.5,98.01,48.29,6.33,81.09,4.346,9.0,,5,57.11,4,37.26,0,
HR20=75 CV<==1.1,17,9,8,8,1,0,88.89,56.5,98.01,48.29,6.33,81.09,4.346,9.0,,5,57.11,4,37.26,0,
HR20=70 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=70 CV<==0.5,1,1,0,1,0,0,100.0,20.65,100.0,40.0,40.0,40.0,0.4,1.0,,0,,1,40.0,0,
HR20=70 CV<==0.6,5,3,2,3,0,0,100.0,43.85,100.0,60.35,39.06,102.0,1.8106,3.0,,1,102.0,2,39.53,0,
HR20=70 CV<==0.7,11,6,5,5,1,0,83.33,43.65,96.99,44.34,-19.32,89.0,2.6606,6.0,,4,46.75,2,39.53,0,
HR20=70 CV<==0.8,23,14,9,12,2,0,85.71,60.06,95.99,39.54,5.58,69.64,5.5358,14.0,,6,60.93,8,23.5,0,
HR20=70 CV<==0.9,25,16,9,14,2,0,87.5,63.98,96.5,39.35,10.45,63.9,6.2955,16.0,,6,60.93,10,26.4,0,
HR20=70 CV<==1.0,26,17,9,14,3,0,82.35,58.97,93.81,31.15,2.55,61.05,5.2955,17.0,,6,60.93,11,14.91,0,
HR20=70 CV<==1.1,26,17,9,14,3,0,82.35,58.97,93.81,31.15,2.55,61.05,5.2955,17.0,,6,60.93,11,14.91,0,
HR20=65 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
HR20=65 CV<==0.5,1,1,0,1,0,0,100.0,20.65,100.0,40.0,40.0,40.0,0.4,1.0,,0,,1,40.0,0,
HR20=65 CV<==0.6,6,4,2,4,0,0,100.0,51.01,100.0,55.51,39.53,86.5,2.2205,4.0,,1,102.0,3,40.02,0,
HR20=65 CV<==0.7,18,10,8,6,4,0,60.0,31.27,83.18,0.7,-54.0,54.51,0.0705,10.0,,6,-2.17,4,5.01,0,
HR20=65 CV<==0.8,32,19,13,13,6,0,68.42,46.01,84.64,10.24,-25.98,45.79,1.9457,19.0,,9,7.29,10,12.9,0,
HR20=65 CV<==0.9,36,22,14,16,6,0,72.73,51.85,86.85,17.21,-17.27,45.95,3.7854,22.0,0.6479,10,17.36,12,17.08,0,
HR20=65 CV<==1.0,37,23,14,16,7,0,69.57,49.13,84.4,12.11,-22.33,41.82,2.7854,23.0,0.5824,10,17.36,13,8.07,0,
HR20=65 CV<==1.1,37,23,14,16,7,0,69.57,49.13,84.4,12.11,-22.33,41.82,2.7854,23.0,0.5824,10,17.36,13,8.07,0,
HR20=60 CV<==0.4,0,0,0,0,0,0,,,,,,,0.0,0.0,,0,,0,,0,
